components_pm2_5,components_pm10,hour,day,month,aqi_rolling_mean,aqi_rolling_std,aqi_rolling_max,aqi_rolling_min,aqi_lag_1,aqi_lag_24,aqi_lag_48,aqi_ema,aqi_category,is_aqi_spike,is_aqi_dip,temp_aqi_interaction,humidity_wind_interaction,daily_avg_aqi,monthly_avg_aqi,weekly_avg_aqi,aqi_median,aqi_max,aqi_min,aqi_trend,aqi_seasonal,aqi_residual,is_weekend,hour_sin,hour_cos,weather_temperature,weather_humidity,weather_wind_speed,weather_precipitation,aqi
0.5009086882004993,0.4613327192162214,22,6,12,5.0,0.0,5.0,5.0,5.0,5.0,5.0,4.952159665071485,0,0,0,902.05,455.9,4.375,4.698924731182796,4.482142857142857,5.0,5.0,5.0,4.770755046224726,-0.2254641728322435,0.4547091266075176,0,-0.5000000000000004,0.8660254037844384,0.214256452961413,-0.0094667475883521,-0.8120187825523468,0.0,0.7120655267881776
0.1289003722683039,0.1417306603375062,23,6,12,5.0,0.0,5.0,5.0,5.0,5.0,5.0,4.955986891865766,0,0,0,706.4,455.9,4.375,4.698924731182796,4.482142857142857,5.0,5.0,5.0,4.736780174104487,-0.2166715491800839,0.4798913750755975,0,-0.2588190451025215,0.965925826289068,0.214256452961413,-0.0094667475883521,-0.8120187825523468,0.0,0.7120655267881776
-0.1240804937412979,-0.0867972491996721,0,7,12,5.0,0.0,5.0,5.0,5.0,5.0,5.0,4.959507940516506,0,0,0,573.35,455.9,3.9027777777777777,4.698924731182796,4.482142857142857,5.0,5.0,5.0,4.701701845061483,-0.2081619558170026,0.50646011075552,1,0.0,1.0,0.214256452961413,-0.0094667475883521,-0.8120187825523468,0.0,0.7120655267881776
-0.2864597944344208,-0.2463174332445844,1,7,12,5.0,0.0,5.0,5.0,5.0,5.0,5.0,4.962747305275186,0,0,0,487.9500000000001,439.2,3.9027777777777777,4.698924731182796,4.482142857142857,5.0,5.0,5.0,4.664836427965905,-0.0997886417462262,0.4349522137803214,1,0.2588190451025207,0.9659258262890684,0.077611371256297,-0.5291758859780077,-0.2071417077462013,0.0,0.7120655267881776
-0.3452129606102698,-0.3238307621114785,2,7,12,5.0,0.0,5.0,5.0,5.0,5.0,5.0,4.965727520853172,0,0,0,457.05,439.2,3.9027777777777777,4.698924731182796,4.482142857142857,5.0,5.0,5.0,4.625445107105438,0.1648106480299526,0.2097442448646092,1,0.4999999999999999,0.8660254037844387,0.077611371256297,-0.5291758859780077,-0.2071417077462013,0.0,0.7120655267881776
-0.2192454117704642,-0.2165478214333859,3,7,12,5.0,0.0,5.0,5.0,5.0,5.0,5.0,4.968469319184918,0,0,0,523.3,439.2,3.9027777777777777,4.698924731182796,4.482142857142857,5.0,5.0,5.0,4.582883651196577,0.1729875670839368,0.2441287817194855,1,0.7071067811865476,0.7071067811865476,0.077611371256297,-0.5291758859780077,-0.2071417077462013,0.0,0.7120655267881776
-0.0184578924122232,-0.0405781214281078,4,7,12,5.0,0.0,5.0,5.0,5.0,5.0,5.0,4.970991773650125,0,0,0,628.9,439.2,3.9027777777777777,4.698924731182796,4.482142857142857,5.0,5.0,5.0,4.536662000768509,0.181166651414189,0.282171347817302,1,0.8660254037844386,0.5000000000000001,0.077611371256297,-0.5291758859780077,-0.2071417077462013,0.0,0.7120655267881776
0.1591325839898573,0.1128437054802787,5,7,12,5.0,0.0,5.0,5.0,5.0,5.0,5.0,4.973312431758115,0,0,0,722.3000000000001,439.2,3.9027777777777777,4.698924731182796,4.482142857142857,5.0,5.0,5.0,4.486602588929635,0.445736514096901,0.0676608969734635,1,0.9659258262890684,0.2588190451025207,0.077611371256297,-0.5291758859780077,-0.2071417077462013,0.0,0.7120655267881776
0.1449671766108904,0.0821111951738392,6,7,12,5.0,0.0,5.0,5.0,5.0,5.0,5.0,4.975447437217467,0,0,0,714.85,439.2,3.9027777777777777,4.698924731182796,4.482142857142857,5.0,5.0,5.0,4.432729116670338,0.1975221578002404,0.3697487255294209,1,1.0,6.123233995736766e-17,0.077611371256297,-0.5291758859780077,-0.2071417077462013,0.0,0.7120655267881776
-0.5324054916786298,-0.6188789093615502,7,7,12,4.958333333333333,0.2041241452319271,5.0,4.0,5.0,5.0,5.0,4.89741164224007,1,0,1,286.88,439.2,3.9027777777777777,4.698924731182796,4.482142857142857,5.0,5.0,4.0,4.375193507351025,-0.0814790034449923,-0.293714503906032,1,0.9659258262890684,-0.2588190451025206,0.077611371256297,-0.5291758859780077,-0.2071417077462013,0.0,-0.5308856875811693
